[00:00] おしゃれ!
[00:01] されけなくね
[00:02] 中の良い年を重ねた5分って
[00:04] あこがれないですよね
[00:05] あ、そう見てると
[00:06] ここにも良い風呂吹きになりたいんだと
[00:08] 今ね
[00:09] もめる検索するパンパンで
[00:10] よたりとかすることが
[00:11] あってもこういう5分になりたいなぁと思ったら
[00:14] 同じよういうね
[00:15] プリセントにも良いと思いますね
[00:17] さあそして
[00:18] リピーターのポンスさん様
[00:19] ありがとうございます
[00:20] 前回反信半疑で
[00:22] ネックレスを購入して
[00:24] 今4デル最中で下がってしまいましたけど
[00:26] ごめんなさいね
[00:27] あのー
[00:28] 今
[00:29] 必要アイテムです
[00:30] また注文をさせていただきましたって
[00:33] はい
[00:34] 色違いで欲しくなりますよね
[00:35] そうなんですよ
[00:36] やっぱり何色かあると
[00:37] およくによって合わせやすかったりもしますからね
[00:39] さあ
[00:40] そしてリピーターのお客様
[00:41] ポンスさん様ね
[00:42] 先ほどから引き続
[00:43] 前回購入して
[00:44] その効き目に
[00:45] ダイファーになり
[00:46] ありがとうございます
[00:47] おやすさに
[00:48] びっくり
[00:49] また注文しました
[00:50] そうなんです
[00:51] ありがとうございます
[00:52] あのパイテンの賞は
[00:53] はっきり申し上げて
[00:54] 人間数回ありますが
[00:56] 今いろんな商品に展開して
[00:58] 新商品を持ちしているので
[01:00] 2個セットでこんなに
[01:02] このネックですがね
[01:03] ね
[01:04] ご用意できるタイミングって
[01:05] 本当にありませんから
[01:06] ちょっと僕らでも書き合わせ
[01:07] 見てためてからね
[01:08] 出せないので
[01:09] そうなんですよ
[01:10] あのだって
[01:11] 企画としては
[01:12] 9月以来ですね
[01:13] そうなんです
[01:14] 今ご用意できるから
[01:15] あの5選中はちょっと風がですね
[01:17] あの私どもの本当に心配になります
[01:20] これ途中で番組終わらないですか
[01:22] 大丈夫ですか
[01:23] というぐらい
[01:24] おかずで
[01:26] ちゃくちゃくちゃ初めていて
[01:27] 他の商品は
[01:28] 本当にテーシャツとか
[01:30] ネックスした
[01:31] クッスなんかも
[01:32] お値段かはやっぱり
[01:33] かかかいてるんです
[01:34] そうなんです
[01:35] テイプなんかもやっぱり
[01:36] どんどん値段が上がってきたいとか
[01:38] サポーターもそうですね
[01:39] ローションとか
[01:40] ファイテンの商品やはり
[01:41] 今の機能にどんどんどん
[01:42] 夜中的にそうだと思うんですけど
[01:43] お値段がしてきてるんですよ
[01:44] その中で
[01:45] これも当然
[01:46] 本当はそういうようになるんですけど
[01:48] まあショップさんでファイテンを
[01:50] 知っていただいて
[01:51] 初めて使っていただく方なんかに
[01:53] そうというので今回この書くで
[01:54] というかなりお値段性を
[01:56] 記者してもらっています
[01:57] ですから実はですね
[01:59] これ2色しかない中でも
[02:00] 実は今ブラックシルバーからが
[02:03] すごい引き及びで動いておりまして
[02:05] どうぞ
[02:06] どうぞ
[02:07] 4日前後は
[02:08] 700を切りますということで
[02:10] お値段は今ずっと
[02:11] 200件近くお値段は
[02:13] いただけてるんですけど
[02:14] 今であれば
[02:15] まあブラックシルバー
[02:17] 一色とかになってしまったら
[02:19] これを2個かわいしかないわけですよ
[02:21] 1個おりは今日をね
[02:23] しておりませんから
[02:24] 何だろうなのに色
[02:25] そう1個をつけられてもらって
[02:26] 2個ね
[02:27] ちょっと見ていただくと
[02:28] 今ちょうど
[02:29] 山本さんは
[02:31] ブラックシルバーを
[02:32] つけていただいていますけど
[02:33] ちょっとブラックゴールドに
[02:35] つけ替えてもらってもいいですか
[02:36] 男性でブラックゴールドに行ってどうなの
[02:38] やっぱりね
[02:39] 金とか私は金のもらって
[02:41] 24件とか18件も
[02:43] やっぱりイエロゴールドがっていう方も
[02:45] お手持ちのネックレスやジュエリーが
[02:47] そういうお色の方も
[02:48] 一緒に重ねてOKなんですよね
[02:50] もちろんあのカツネズケで
[02:52] この先端のこんな感じかな
[02:54] ゴールドではなくて
[02:56] ちょっと角度を変えるくらいで
[02:58] ゴールド感が出るので
[02:59] ときだきらあとね
[03:01] 確かに
[03:02] ついてきてしよう
[03:03] これ僕なんかもう
[03:04] 外に出すこと多いですけど
[03:05] 仕事中なんかは
[03:07] 今日はこれ僕にちょっと出します
[03:09] 今日中にこう入れると
[03:10] 中に入れていただいて
[03:11] つけていただければ
[03:12] 全く分からないですけど
[03:14] 実はこの t シャツの中で
[03:16] この子がですね
[03:17] 管理医療機としての
[03:18] 装着部員の
[03:19] 来り
[03:20] 結構の改善してくれてるっていう
[03:22] うれしくないですかこれね
[03:23] そうですよね
[03:24] さみなさま
[03:25] 今で装着部員の来り
[03:27] および結構の改善は
[03:29] 管理医療機器の効果というところで
[03:32] ご紹介をさせていただく商品
[03:34] その中でも5点の
[03:35] ほんと人気商品を
[03:37] 今日特別にご用意いたしました
[03:39] これあの期間プラスっていうことで
[03:41] 思い出すよ
[03:42] ついかってことはもう途中では
[03:43] 難しいんですか
[03:44] ねー
[03:45] もうちょっと今回ほんとに
[03:46] これように集めたものなので
[03:49] この勢いにびっくりして
[03:51] 本来デスクワークをしているね
[03:53] あのうちのスタッフが
[03:54] 降りてきて
[03:55] この数しかないんですかと
[03:57] びっくりしてくらいなんですが
[03:59] ただ今日から
[04:00] 皆さま
[04:01] 装着部員を無料という
[04:02] このチャンスも
[04:03] うれしいですよね
[04:04] 僕も今日初めて知られましたけど
[04:06] めちゃくちゃ今日インクじゃね
[04:08] 実は皆さま
[04:09] 今日から
[04:10] 必ず得するキャンペー
[04:12] どんな商品も
[04:13] 全員装着部員を無料で
[04:14] 私どもが
[04:15] 装着部員を
[04:16] 負担させていただくという
[04:17] 初日でございますから
[04:18] 今日各商品
[04:19] オフトンのショップスターバリーも
[04:20] そうですが
[04:21] このファイテンの
[04:22] ネクレスも
[04:23] 驚くべきご注文数を
[04:24] 調題しておりまして
[04:25] もう
[04:26] あと2千件を超えるご注文
[04:28] 完了しております
[04:29] ですので
[04:30] 装着を無料のこのチャンス
[04:31] まとめがいっていうことで
[04:33] 考えていただくのも
[04:34] いいですし
[04:35] ショップチャンネルカードや
[04:36] 装着を定学サービスに
[04:37] ご加入の方も
[04:38] 5%
[04:39] 買えば買うほど
[04:41] お嬉しい
[04:42] 関係がございますので
[04:44] ぜひ皆さんは
[04:45] この期間のうちに
[04:46] お気に入りのアイテム
[04:47] でなさっていただければ
[04:48] と思うんですが
[04:49] やっぱりやまもとさん
[04:50] まもとさんご自身
[04:51] もうファイテンに入られて
[04:52] まのね
[04:53] ショップチャンネルも
[04:54] 経験としては
[04:55] 12年目
[04:56] あと今ですね
[04:57] そうですね
[04:58] びっくりしました
[04:59] もうちょっと変わらないですね
[05:00] なんとお話してましたけど
[05:02] はいはいはい
[05:03] お行くすなられましたか
[05:04] 今さ今53歳ですね
[05:05] 数かしりじゃないですか
[05:06] 今年514
[05:07] 見られませんでしょ
[05:08] はいはいはい
[05:09] そんな
[05:10] わからないですけど
[05:11] いやいや
[05:12] それくらいで
